source_timestamp_ms,received_timestamp_ms,log_timestamp_ms,symbol,price,bid,ask,spread,latency_ms,direction,previous_price
1753273655839,1753273655886,1753273655886,AUDUSD,0.65949,0.65949,0.65949,0.00000,47.000,-1,0.65950
1753273656000,1753273656075,1753273656075,AUDUSD,0.65947,0.65947,0.65947,0.00000,75.000,-1,0.65949
1753273656240,1753273656316,1753273656316,AUDUSD,0.65946,0.65946,0.65946,0.00000,76.000,-1,0.65947
1753273656643,1753273656717,1753273656717,AUDUSD,0.65945,0.65945,0.65945,0.00000,74.000,-1,0.65946
1753273656843,1753273656889,1753273656889,AUDUSD,0.65948,0.65948,0.65948,0.00000,46.000,1,0.65945
1753273657000,1753273657048,1753273657048,AUDUSD,0.65949,0.65949,0.65949,0.00000,48.000,1,0.65948
1753273657240,1753273657295,1753273657295,AUDUSD,0.65946,0.65946,0.65947,0.00001,55.000,-1,0.65949
1753273657640,1753273657692,1753273657692,AUDUSD,0.65947,0.65947,0.65948,0.00001,52.000,1,0.65946
1753273660237,1753273660293,1753273660293,AUDUSD,0.65946,0.65946,0.65947,0.00001,56.000,-1,0.65947
1753273664239,1753273664284,1753273664284,AUDUSD,0.65947,0.65947,0.00000,0.00000,45.000,1,0.65946
1753273666840,1753273666884,1753273666884,AUDUSD,0.65945,0.65945,0.65945,0.00000,44.000,-1,0.65947
1753273667437,1753273667498,1753273667498,AUDUSD,0.65946,0.65946,0.65946,0.00000,61.000,1,0.65945
1753273672237,1753273672296,1753273672296,AUDUSD,0.65945,0.65945,0.65945,0.00000,59.000,-1,0.65946
1753273672636,1753273672712,1753273672712,AUDUSD,0.65941,0.65941,0.65941,0.00000,76.000,-1,0.65945
1753273673440,1753273673485,1753273673485,AUDUSD,0.65942,0.65942,0.65942,0.00000,45.000,1,0.65941
1753273674241,1753273674287,1753273674287,AUDUSD,0.65941,0.65941,0.00000,0.00000,46.000,-1,0.65942
1753273676244,1753273676288,1753273676288,AUDUSD,0.65942,0.65942,0.00000,0.00000,44.000,1,0.65941
1753273676838,1753273676884,1753273676884,AUDUSD,0.65941,0.65941,0.65941,0.00000,46.000,-1,0.65942
1753273678236,1753273678280,1753273678280,AUDUSD,0.65942,0.65942,0.65942,0.00000,44.000,1,0.65941
1753273679237,1753273679279,1753273679279,AUDUSD,0.65941,0.65941,0.65941,0.00000,42.000,-1,0.65942
1753273680439,1753273680487,1753273680487,AUDUSD,0.65940,0.65940,0.65940,0.00000,48.000,-1,0.65941
1753273681639,1753273681694,1753273681694,AUDUSD,0.65941,0.65941,0.65941,0.00000,55.000,1,0.65940
1753273681848,1753273681914,1753273681914,AUDUSD,0.65940,0.65940,0.65940,0.00000,66.000,-1,0.65941
1753273682237,1753273682294,1753273682294,AUDUSD,0.65939,0.65939,0.65939,0.00000,57.000,-1,0.65940
1753273683437,1753273683480,1753273683480,AUDUSD,0.65940,0.65940,0.65940,0.00000,43.000,1,0.65939
1753273685241,1753273685326,1753273685326,AUDUSD,0.65941,0.65941,0.65941,0.00000,85.000,1,0.65940
1753273685445,1753273685499,1753273685499,AUDUSD,0.65940,0.65940,0.65940,0.00000,54.000,-1,0.65941
1753273696849,1753273696918,1753273696918,AUDUSD,0.65939,0.65939,0.65939,0.00000,69.000,-1,0.65940
1753273698836,1753273698880,1753273698880,AUDUSD,0.65940,0.65940,0.65940,0.00000,44.000,1,0.65939
1753273701844,1753273701887,1753273701887,AUDUSD,0.65941,0.65941,0.65941,0.00000,43.000,1,0.65940
1753273711250,1753273711294,1753273711294,AUDUSD,0.65944,0.65944,0.65944,0.00000,44.000,1,0.65941
1753273711447,1753273711496,1753273711496,AUDUSD,0.65945,0.65945,0.65945,0.00000,49.000,1,0.65944
1753273712244,1753273712314,1753273712314,AUDUSD,0.65946,0.00000,0.65946,0.00000,70.000,1,0.65945
1753273714238,1753273714281,1753273714281,AUDUSD,0.65946,0.65946,0.00000,0.00000,43.000,0,0.65946
1753273716243,1753273716296,1753273716296,AUDUSD,0.65949,0.65949,0.65949,0.00000,53.000,1,0.65946
1753273717000,1753273717048,1753273717048,AUDUSD,0.65950,0.65950,0.65950,0.00000,48.000,1,0.65949
1753273717245,1753273717294,1753273717294,AUDUSD,0.65949,0.65949,0.00000,0.00000,49.000,-1,0.65950
1753273717444,1753273717518,1753273717518,AUDUSD,0.65950,0.65950,0.65951,0.00001,74.000,1,0.65949
1753273717839,1753273717886,1753273717886,AUDUSD,0.65949,0.65949,0.65950,0.00001,47.000,-1,0.65950
1753273718239,1753273718291,1753273718291,AUDUSD,0.65950,0.65950,0.00000,0.00000,52.000,1,0.65949
1753273718441,1753273718524,1753273718524,AUDUSD,0.65947,0.65947,0.65947,0.00000,83.000,-1,0.65950
1753273719241,1753273719291,1753273719291,AUDUSD,0.65946,0.65946,0.65946,0.00000,50.000,-1,0.65947
1753273719451,1753273719518,1753273719518,AUDUSD,0.65945,0.65945,0.65945,0.00000,67.000,-1,0.65946
1753273720248,1753273720300,1753273720300,AUDUSD,0.65946,0.00000,0.65946,0.00000,52.000,1,0.65945
1753273720648,1753273720716,1753273720717,AUDUSD,0.65946,0.65946,0.65947,0.00001,68.000,0,0.65946
1753273725434,1753273725477,1753273725477,AUDUSD,0.65949,0.65949,0.65950,0.00001,43.000,1,0.65946
1753273726237,1753273726284,1753273726284,AUDUSD,0.65949,0.00000,0.65949,0.00000,47.000,0,0.65949
1753273727239,1753273727287,1753273727287,AUDUSD,0.65950,0.00000,0.65950,0.00000,48.000,1,0.65949
1753273727437,1753273727493,1753273727493,AUDUSD,0.65950,0.65950,0.65951,0.00001,56.000,0,0.65950
1753273730236,1753273730282,1753273730282,AUDUSD,0.65950,0.00000,0.65950,0.00000,46.000,0,0.65950
1753273732238,1753273732296,1753273732296,AUDUSD,0.65951,0.65951,0.65951,0.00000,58.000,1,0.65950
1753273737437,1753273737482,1753273737482,AUDUSD,0.65952,0.65952,0.65952,0.00000,45.000,1,0.65951
1753273737638,1753273737681,1753273737681,AUDUSD,0.65951,0.65951,0.65951,0.00000,43.000,-1,0.65952
1753273744853,1753273744913,1753273744913,AUDUSD,0.65953,0.65953,0.65953,0.00000,60.000,1,0.65951
1753273745238,1753273745284,1753273745284,AUDUSD,0.65955,0.65955,0.65955,0.00000,46.000,1,0.65953
1753273745438,1753273745481,1753273745481,AUDUSD,0.65954,0.65954,0.65954,0.00000,43.000,-1,0.65955
1753273759249,1753273759294,1753273759294,AUDUSD,0.65953,0.65953,0.65953,0.00000,45.000,-1,0.65954
